Process name,Category,Language,Custom code?,Complete?,Requires reimplementation?,Modular and testable?,Description,
Open from File,Data Import,R,rio,Y,N,Y,"Import data from a range of other software (Excel, txt, csv, spss, etc)",
Open from Library,Test data,R,Yes,Y,N,Y,Sample data from different countries and also from R packages,
Open from Open Data Kit (ODK),Data Import,R,?,Partly,N,N,"Import data from Open Data Kit (online survey, could be climatic data)",
Import and Tidy NETCDF File,Data Import,R,Yes + ncdf4,Y,N,Y,Import and tidy gridded data in NetCDF format,
Export data file,Data Export,R,rio,Y,N,Y,"Export data for a wide range of other packages, including csv, Excel",
Open Gridded Data,Data Import,R,Yes,Soon,N,N,"Easy access to IRI, EUMETSAT, ERA5 gridded data, etc",
Open and Tidy Shapefile,Data Import,R,?,Y,N,Y,Import shapefile (e.g. for country) for mapping products,
Import from CLIMSOFT,Data Import,R,Yes,Y,N,Y,Transfer data from CLIMSOFT 4 database,
Export to CPT,Data Export,R,Yes,Y,N,Y,Export data in CPT format,
Visualise Data,Tidy and Examine,R,visdat,Y,N,Y,Graphical presentations of imported data,
Tidy Daily Data,Tidy and Examine,R,Yes,Y,N,Y,Transformation of (daily) data into tidy shape for products,
Non-Numeric Cases,Tidy and Examine,R,dplyr,Y,N,Y,Investigate imported data for non-numeric values,
Replace Vaues,Tidy and Examine,R,dplyr,Y,N,Y,"Replace values, e.g. -999, by R missing value code, etc",
Duplicates,Tidy and Examine,R,dplyr,Y,N,Y,Examine data for duplicate records,
Stack,Tidy and Examine,R,dplyr,Y,N,Y,Change data shape from wide to long,
Unstack,Tidy and Examine,R,dplyr,Y,N,Y,Change data shape from long to wide,
Merge,Tidy and Examine,R,dplyr,Y,N,Y,"Merge data from different data frames, e.g. station and gridded data",
Append,Tidy and Examine,R,dplyr,Y,N,Y,Append data frames,
One Variable summarise,Tidy and Examine,R,Yes,Y,N,Y,Explore data simply through numerical summaries,
One Variable Graph,Tidy and Examine,R,ggplot2,Y,N,Y,Simple exploratory graphs of imported data,
One Variable Frequencies,Tidy and Examine,R,sjmisc,Y,N,Y,Frequencies for imported data,
Generate Dates,Dates,R,seq.Date,Y,N,Y,Make regular sequence of dates,
Make Date,Dates,R,lubridate,Y,N,Y,"Make a Date variable from components, e.g. year, month, day",
Fill Date Gaps,Dates,R,Yes,Y,N,Y,"Infill gaps in data record, so sequence of dates is complete",
Use Date,Dates,R,lubridate,Y,N,Y,"Produce components e.g months, day of year, from date variable",
Make Time,Dates and Times,R,lubridate,N,N,N,Make a date-time variable for within-day date,
Use Time,Dates and Times,R,lubridate,N,N,N,Produce components from within day data,
Define Climatic Data,Define,R,Yes,Y,N,Y,Define tidy data as climatic,
Inventory,Check Data,R,Yes + ggplot2,Soon,N,Soon,Graphical and numeric summary of data and missing,
Display Daily,Check Data,R,Yes + ggplot2,Y,N,Y,Graphical and numeric display of (daily) data,
Missing Values,Check Data,R,Yes + chillr and imputeTS ,Soon,N,Soon,Display and infilling of missing values,
Boxplot,Check Data,R,ggplot2,Y,N,Y,Boxplot displays to show data quality,
Quality Control - Temperatures,Check Data,R,Yes,Y,N,Y,Adaptation of rclimdex_qc_extra,
